ID,Version,VectorString,AccessVector,AccessComplexity,Authentication,ConfidentialityImpact,IntegrityImpact,AvailabilityImpact,BaseScore,Severity,ExploitabilityScore,ImpactScore,ACInsufInfo,ObtainAllPrivilege,ObtainUserPrivilege,ObtainOtherPrivilege,UserInteractionRequired
CVE-2023-0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
CVE-2023-0016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False
